,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
39,39.0,Bolivia,36818,"+1,290",1320.0,+49,10766.0,+408,24732.0,71.0,3154.0,113.0,81786.0,7006.0,11673664.0,317.0,8844.0,143.0
40,40.0,Dominican Republic,36184,"+1,036",786.0,+11,18602.0,+210,16796.0,193.0,3335.0,72.0,163727.0,15092.0,10848551.0,300.0,13802.0,66.0
41,41.0,Panama,35995,,698.0,,16945.0,,18352.0,146.0,8342.0,162.0,138081.0,32000.0,4314967.0,120.0,6182.0,31.0
42,42.0,Poland,35719,+314,1512.0,+5,23127.0,+476,11080.0,74.0,944.0,40.0,1620160.0,42809.0,37846137.0,1060.0,25031.0,23.0
43,43.0,Afghanistan,32672,+348,826.0,+7,19164.0,"+1,833",12682.0,29.0,839.0,21.0,75155.0,1931.0,38927805.0,1191.0,47128.0,518.0
44,44.0,Switzerland,32198,+97,1965.0,,29200.0,,1033.0,15.0,3720.0,227.0,624396.0,72142.0,8655082.0,269.0,4405.0,14.0
45,45.0,Romania,28582,+416,1731.0,+23,19854.0,+309,6997.0,223.0,1486.0,90.0,759037.0,39459.0,19235880.0,673.0,11113.0,25.0
46,46.0,Bahrain,28410,,95.0,,23318.0,,4997.0,48.0,16701.0,56.0,584070.0,343340.0,1701143.0,60.0,17907.0,3.0
47,47.0,Israel,28055,,326.0,,17669.0,,10060.0,77.0,3050.0,35.0,1024298.0,111366.0,9197590.0,328.0,28213.0,9.0
48,48.0,Armenia,27900,+580,477.0,+8,15935.0,+451,11488.0,10.0,9415.0,161.0,120245.0,40578.0,2963298.0,106.0,6212.0,25.0
49,49.0,Nigeria,27564,,628.0,,11069.0,,15867.0,7.0,134.0,3.0,144833.0,703.0,206130241.0,7478.0,328233.0,1423.0
50,50.0,Ireland,25509,+11,1741.0,+1,23364.0,,404.0,12.0,5166.0,353.0,454216.0,91982.0,4938079.0,194.0,2836.0,11.0
51,51.0,Honduras,22116,+996,605.0,+14,2250.0,+60,19261.0,58.0,2233.0,61.0,49308.0,4978.0,9905059.0,448.0,16372.0,201.0
52,52.0,Guatemala,21293,,880.0,,3315.0,,17098.0,5.0,1188.0,49.0,64590.0,3605.0,17916069.0,841.0,20359.0,277.0
53,53.0,Azerbaijan,19801,+534,241.0,+6,11291.0,+471,8269.0,66.0,1953.0,24.0,509811.0,50278.0,10139762.0,512.0,42074.0,20.0
54,54.0,Ghana,19388,,117.0,,14330.0,,4941.0,6.0,624.0,4.0,300520.0,9671.0,31073108.0,1603.0,265582.0,103.0
55,55.0,Japan,19068,,976.0,,16866.0,,1226.0,33.0,151.0,8.0,481877.0,3810.0,126471668.0,6633.0,129582.0,262.0
56,56.0,Austria,18165,+115,705.0,,16607.0,+49,853.0,8.0,2017.0,78.0,642679.0,71355.0,9006813.0,496.0,12776.0,14.0
57,57.0,Moldova,17672,+227,580.0,+8,10396.0,+303,6696.0,438.0,4381.0,144.0,101180.0,25083.0,4033850.0,228.0,6955.0,40.0
58,58.0,Serbia,15829,+325,306.0,+8,13064.0,,2459.0,86.0,1812.0,35.0,434415.0,49722.0,8736919.0,552.0,28552.0,20.0
59,59.0,Algeria,15500,+430,946.0,+9,11181.0,+349,3373.0,56.0,353.0,22.0,,,43852424.0,2829.0,46356.0,
60,60.0,Nepal,15491,+232,34.0,+2,6415.0,+272,9042.0,,532.0,1.0,547876.0,18803.0,29137741.0,1881.0,856992.0,53.0
61,61.0,Morocco,13434,+146,232.0,+2,9214.0,+54,3988.0,7.0,364.0,6.0,739923.0,20045.0,36912729.0,2748.0,159107.0,50.0
62,62.0,S. Korea,13030,+63,283.0,+1,11811.0,+52,936.0,15.0,254.0,6.0,1319523.0,25737.0,51269647.0,3935.0,181165.0,39.0
63,63.0,Denmark,12832,,606.0,,11817.0,,409.0,6.0,2215.0,105.0,1106377.0,191005.0,5792389.0,451.0,9558.0,5.0
64,64.0,Cameroon,12592,,313.0,,10100.0,,2179.0,52.0,474.0,12.0,,,26544616.0,2108.0,84807.0,
65,65.0,Czechia,12372,+53,353.0,,7851.0,+3,4168.0,12.0,1155.0,33.0,565122.0,52770.0,10709179.0,866.0,30338.0,19.0
66,66.0,Ivory Coast,10244,,70.0,,4726.0,,5448.0,,388.0,3.0,60652.0,2299.0,26377087.0,2575.0,376816.0,435.0
67,67.0,Sudan,9663,,604.0,,4624.0,,4435.0,,220.0,14.0,401.0,9.0,43848176.0,4538.0,72596.0,109347.0
68,68.0,Uzbekistan,9611,+215,31.0,+2,6306.0,+55,3274.0,24.0,287.0,0.9,1121236.0,33499.0,33470949.0,3483.0,1079708.0,30.0
69,69.0,Norway,8926,+5,251.0,,8138.0,,537.0,3.0,1646.0,46.0,348208.0,64227.0,5421538.0,607.0,21600.0,16.0
70,70.0,Malaysia,8658,+10,121.0,,8461.0,+15,76.0,2.0,267.0,4.0,797796.0,24648.0,32367850.0,3738.0,267503.0,41.0
